number,state,value,batch_size,dropout_rate,embed_size,hidden_size,num_steps
0,COMPLETE,0.20626971125602722,6.0,0.4051490636960162,6.0,7.0,17275.0
1,FAIL,,7.0,0.3574284046648636,6.0,4.0,17695.0
2,COMPLETE,0.20876528322696686,8.0,0.24887094044771463,5.0,3.0,2659.0
3,COMPLETE,0.25463229417800903,8.0,0.3096468986841252,7.0,7.0,16850.0
4,COMPLETE,0.2004031240940094,7.0,0.22315499641992914,5.0,4.0,8073.0
5,COMPLETE,0.22163209319114685,8.0,0.22011053019291446,4.0,3.0,9805.0
6,COMPLETE,0.2275397926568985,7.0,0.31483419184060424,4.0,6.0,14436.0
7,COMPLETE,0.23163361847400665,8.0,0.45275757579750847,3.0,7.0,19543.0
8,COMPLETE,0.23976172506809235,10.0,0.46100083369794653,3.0,4.0,16831.0
9,COMPLETE,0.19493813812732697,7.0,0.4209143559037493,6.0,5.0,7630.0
10,COMPLETE,0.25350484251976013,9.0,0.2837612054644186,7.0,7.0,13016.0
11,COMPLETE,0.2026377171278,6.0,0.38218531897157765,6.0,5.0,5115.0
12,COMPLETE,0.19984978437423706,7.0,0.370246442750085,5.0,5.0,8257.0
13,COMPLETE,0.1972927451133728,7.0,0.49898627930236966,6.0,5.0,6949.0
14,COMPLETE,0.19539017975330353,7.0,0.49656534577289846,6.0,6.0,5700.0
15,COMPLETE,0.20325852930545807,6.0,0.4317320655259434,6.0,6.0,4242.0
16,COMPLETE,0.2733261287212372,9.0,0.48072804008785325,7.0,6.0,11431.0
17,COMPLETE,0.19799929857254028,7.0,0.417728635467625,6.0,4.0,5565.0
18,COMPLETE,0.2048855870962143,9.0,0.4557783627691979,4.0,6.0,2400.0
19,COMPLETE,0.19943000376224518,6.0,0.34774805982114526,7.0,5.0,10061.0
20,COMPLETE,0.19513197243213654,7.0,0.4971110396910592,6.0,6.0,7119.0
21,COMPLETE,0.19541379809379578,6.0,0.39605837523939674,5.0,6.0,12148.0
22,COMPLETE,0.19486276805400848,7.0,0.48654403167648436,6.0,6.0,6793.0
23,COMPLETE,0.1997656226158142,7.0,0.43632786592839834,6.0,5.0,8698.0
24,COMPLETE,0.19741666316986084,7.0,0.4707669699249376,5.0,5.0,7178.0
25,COMPLETE,0.2467121034860611,8.0,0.43124571327557043,7.0,6.0,9808.0
26,COMPLETE,0.20935288071632385,7.0,0.4832474471544578,6.0,4.0,4363.0
27,COMPLETE,0.19698837399482727,6.0,0.44822241475557945,6.0,6.0,6461.0
28,COMPLETE,0.19972315430641174,8.0,0.34549446391249206,5.0,7.0,3467.0
29,COMPLETE,0.1995650976896286,7.0,0.4743957315740388,7.0,6.0,8932.0
30,COMPLETE,0.1969739943742752,6.0,0.40673604104134864,6.0,7.0,7020.0
31,COMPLETE,0.2610355317592621,8.0,0.4186054594372256,6.0,5.0,13661.0
32,COMPLETE,0.1955072432756424,7.0,0.4962185715696328,6.0,6.0,5942.0
33,COMPLETE,0.1982719749212265,7.0,0.49598496030246675,6.0,6.0,4936.0
34,COMPLETE,0.2018859088420868,7.0,0.474083523337921,7.0,5.0,3682.0
35,COMPLETE,0.21817481517791748,8.0,0.4999569123054571,5.0,7.0,7564.0
36,COMPLETE,0.19696126878261566,6.0,0.44444156637306975,5.0,6.0,9181.0
37,COMPLETE,0.2024814784526825,8.0,0.46702046352756205,6.0,3.0,6283.0
38,COMPLETE,0.2146243005990982,7.0,0.4843446709292958,4.0,5.0,10710.0
39,COMPLETE,0.195158913731575,7.0,0.3255680731265346,5.0,4.0,7958.0
40,COMPLETE,0.212443009018898,8.0,0.3171165171916025,5.0,4.0,7720.0
41,COMPLETE,0.26374295353889465,10.0,0.2570698531037581,4.0,3.0,10870.0
42,COMPLETE,0.19808591902256012,7.0,0.29099284966801797,6.0,4.0,8240.0
43,COMPLETE,0.1968691349029541,7.0,0.33642657483223604,5.0,7.0,5961.0
44,COMPLETE,0.20295067131519318,7.0,0.3648024315852004,5.0,4.0,3293.0
45,COMPLETE,0.20219381153583527,6.0,0.3251697992465248,6.0,6.0,4970.0
46,COMPLETE,0.19874680042266846,7.0,0.20136149442390752,7.0,3.0,6798.0
47,COMPLETE,0.24575698375701904,7.0,0.38551882441645474,6.0,5.0,19363.0
48,COMPLETE,0.2295740395784378,8.0,0.45969280193965395,5.0,6.0,9204.0
49,COMPLETE,0.19796834886074066,6.0,0.2661944169210177,4.0,7.0,15526.0
50,COMPLETE,0.20128586888313293,9.0,0.3701859302942163,6.0,5.0,5295.0
51,COMPLETE,0.19822095334529877,7.0,0.2969567180416615,7.0,4.0,8246.0
52,COMPLETE,0.19862620532512665,6.0,0.3989238056950151,5.0,6.0,14267.0
53,COMPLETE,0.19640526175498962,6.0,0.3849602865237687,5.0,6.0,12024.0
54,COMPLETE,0.19539636373519897,6.0,0.4863769340817742,5.0,6.0,12282.0
55,COMPLETE,0.21868307888507843,7.0,0.4901821350918389,6.0,6.0,12558.0
56,COMPLETE,0.19773422181606293,6.0,0.45929022386248947,4.0,6.0,7731.0
57,COMPLETE,0.20526990294456482,7.0,0.4832864947130278,3.0,5.0,10107.0
58,COMPLETE,0.1993657499551773,7.0,0.43841365175895436,5.0,6.0,4262.0
59,COMPLETE,0.24489402770996094,8.0,0.4676205638253269,6.0,5.0,11656.0
60,COMPLETE,0.19685934484004974,6.0,0.41515896256916024,5.0,7.0,6741.0
61,COMPLETE,0.25264206528663635,8.0,0.4480370707972281,6.0,6.0,15810.0
62,COMPLETE,0.19632098078727722,6.0,0.35883064052044883,5.0,6.0,13070.0
63,COMPLETE,0.196562260389328,6.0,0.4255576042155451,5.0,6.0,12651.0
64,COMPLETE,0.20242179930210114,6.0,0.3958997084665166,5.0,6.0,2021.0
65,COMPLETE,0.19965951144695282,7.0,0.4865706673369,6.0,6.0,10308.0
66,COMPLETE,0.2019662708044052,7.0,0.3300508874045775,5.0,7.0,9575.0
67,COMPLETE,0.1962369680404663,6.0,0.4732092064445792,6.0,6.0,8705.0
68,COMPLETE,0.19459618628025055,7.0,0.49175480969430047,6.0,5.0,7299.0
69,COMPLETE,0.19510437548160553,7.0,0.49271167015454526,6.0,5.0,7419.0
70,COMPLETE,0.19770126044750214,7.0,0.49891537537726255,7.0,5.0,7205.0
71,COMPLETE,0.19481779634952545,7.0,0.47861355778881237,6.0,5.0,5832.0
72,COMPLETE,0.19766508042812347,7.0,0.47685472318834987,6.0,5.0,5954.0
73,COMPLETE,0.19732631742954254,7.0,0.46567045100331733,6.0,5.0,5562.0
74,COMPLETE,0.19611592590808868,7.0,0.49270957144998423,6.0,5.0,7323.0
75,COMPLETE,0.19837601482868195,7.0,0.4793727204080155,6.0,5.0,4738.0
76,COMPLETE,0.19511298835277557,7.0,0.4533935705471439,6.0,5.0,6250.0
77,COMPLETE,0.195964515209198,7.0,0.4527042180041074,6.0,5.0,6404.0
78,COMPLETE,0.2026110291481018,7.0,0.44079325089714344,6.0,4.0,7909.0
79,COMPLETE,0.19505926966667175,7.0,0.454633186045284,7.0,5.0,6326.0
80,COMPLETE,0.19435186684131622,7.0,0.45443449853596857,7.0,5.0,6419.0
81,COMPLETE,0.19473306834697723,7.0,0.430890981711419,7.0,5.0,6274.0
82,COMPLETE,0.19813747704029083,7.0,0.4256808338416368,7.0,5.0,6379.0
83,COMPLETE,0.20276060700416565,7.0,0.4535821723263877,7.0,5.0,5317.0
84,COMPLETE,0.19934393465518951,7.0,0.4661724541532249,7.0,5.0,4647.0
85,COMPLETE,0.19722938537597656,7.0,0.43345779044105337,7.0,5.0,6736.0
86,COMPLETE,0.19822128117084503,7.0,0.4456755775991484,7.0,5.0,6053.0
87,COMPLETE,0.19910986721515656,7.0,0.46159773532777454,7.0,5.0,3713.0
88,COMPLETE,0.2010713815689087,7.0,0.476775603754277,7.0,5.0,8492.0
